Execution_Time,CPU,Disk,Memory,Heap,Threads
19430,10,868708756.2,39.33333333,0.491600262,95.41666667
141479.8,10,892425463.5,39.52325581,0.469224545,49.88372093
143889,10,925024801.5,39.72368421,0.57374274,57.5
140951.6,10,956945581.5,39.8902439,0.459624825,56.2804878
200765.8,10,991411292,40,0.542509994,68.84615385
15112.6,10,1017961689,39.3,0.346263382,6.166666667
17181.2,10,1032986232,40,0.641635312,20.18518519
16607.4,10,1048964897,39.68571429,0.370924191,15.57142857
123638.4,10,1064778391,40,0.676600595,30.53571429
14009.2,10,1079633172,39.60714286,0.434302108,21.42857143
16110,10,1095025108,40,0.284605082,5.454545455
16059.6,10,1108755550,40,0.559040422,71.11111111
171117,10,1130870780,39.79518072,0.405573278,46.44578313
19558.4,10,1153327276,40,0.71868285,90.26315789
42640.8,10,1164892096,40,0.665368875,85.83333333
